,0,1
1406,armoire,2
1407,typically,1
1408,furnish,1
1409,ways,2
1410,wounded,2
1411,pajamas,1
1412,bull-fight,29
1413,wrappers,1
1414,orange,1
1415,news,3
1416,whichever,1
1417,spoil,4
1418,le,1
1419,toril,1
1420,petite,1
1421,correspondance,1
1422,cornigrams,1
1423,blew,8
1424,able,6
1425,work,22
1426,grievance,1
1427,flying,1
1428,italian,4
1429,hospital,2
1430,form,5
1431,society,2
1432,italians,1
1433,ospedale,1
1434,maggiore,1
1435,milano,4
1436,padiglione,2
1437,ponte,2
1438,building,3
1439,zonda,2
1440,liaison,1
1441,colonel,2
1442,visit,4
1443,bandaged,1
1444,speech,5
1445,foreigner,3
1446,englishman,5
1447,given,5
1448,illuminated,1
1449,hang,3
1450,che,2
1451,mala,2
1452,fortuna,2
1453,used,11
1454,trouble,10
1455,run,6
1456,shipped,1
1457,england,8
1458,church,10
1459,handling,3
1460,advice,2
1461,sometime,1
1462,awake,4
1463,jumping,3
1464,rest,7
1465,smooth,16
1466,waves,1
1467,sudden,7
1468,cry,1
1469,listened,7
1470,heavy,12
1471,woke,12
1472,recognized,1
1473,voice,5
1474,dressing-gown,1
1475,species,1
1476,waked,2
1477,kind,5
1478,says,8
1479,address,9
1480,doing,7
1481,clock,1
1482,half-past,1
1483,deserves,1
1484,anyhow,3
1485,amount,4
1486,owns,1
1487,chain,2
1488,sweetshops,1
1489,sipped,3
1490,linked,2
1491,interesting,6
1492,doubt,2
1493,buck,3
1494,painter,2
1495,everywhere,4
1496,offered,9
1497,ten,12
1498,biarritz,19
1499,up-take,1
1500,cannes,5
1501,monte,2
1502,carlo,2
1503,true,11
1504,raised,9
1505,don't,5
1506,wants,14
1507,dressed,10
1508,car,42
1509,chauffeur,11
1510,livery,1
1511,breakfast,8
1512,bois,3
1513,hampers,1
1514,zelli,2
1515,dozen,6
1516,mumms,2
1517,tempt,1
1518,morning,60
1519,ass,13
1520,tender,1
1521,message,7
1522,ill,2
1523,shivered,3
1524,cordon,1
1525,muttered,1
1526,walking,19
1527,limousine,1
1528,half-full,2
1529,kitchen,8
1530,poured,16
1531,sink,2
1532,slippers,2
1533,crying,13
1534,stepping,1
1535,hard-boiled,5
1536,daytime,2
1537,5,1
1538,soufflot,1
1539,brioche,1
1540,luxembourg,1
1541,gardens,3
1542,bloom,1
1543,early-morning,3
1544,smoked,3
1545,cigarette,10
1546,flower-women,1
1547,market,4
1548,arranging,2
1549,daily,1
1550,stock,1
1551,students,1
1552,law,1
1553,sorbonne,1
1554,busy,3
1555,rode,5
1556,madeleine,2
1557,platform,2
1558,capucines,1
1559,opéra,1
1560,frogs,1
1561,boxer,3
1562,toys,1
1563,aside,1
1564,avoid,3
1565,thread,2
1566,assistant,1
1567,manipulated,1
1568,boxers,1
1569,urging,1
1570,tourists,2
1571,pushing,2
1572,roller,3
1573,printed,2
1574,cinzano,1
1575,damp,7
1576,eleven,4
1577,quai,4
1578,d'orsay,3
1579,correspondents,1
1580,foreign-office,1
1581,mouthpiece,1
1582,nouvelle,1
1583,revue,1
1584,française,1
1585,diplomat,1
1586,horn-rimmed,1
1587,questions,7
1588,president,13
1589,council,1
1590,lyons,1
1591,making,13
1592,service,10
1593,answers,2
1594,shared,1
1595,woolsey,4
1596,krum,8
1597,dingo,3
1598,isn't,1
1599,dive,2
1600,kids,4
1601,i've,4
1602,sundays,1
1603,rained,2
1604,englishmen,1
1605,saturday,2
1606,lucky,2
1607,beggars,1
1608,agency,1
1609,banged,3
1610,file,1
1611,two-franc,1
1612,piece,11
1613,crazy,6
1614,nope,1
1615,good-by,3
1616,lunch,36
1617,wednesday,4
1618,bet,9
1619,elevator,3
1620,waiting,15
1621,wetzel,1
1622,hors,5
1623,d'oeuvres,5
1624,ordered,7
1625,sommelier,2
1626,beaded,3
1627,steins,1
1628,cold,28
1629,dishes,1
1630,worried,4
1631,likes,5
1632,obligations,1
1633,shoved,5
1634,sliced,1
1635,cucumbers,1
1636,pickled,1
1637,herring,1
1638,campbell,9
1639,scotland,3
1640,remarkably,1
1641,quality,5
1642,fineness,1
1643,seems,6
1644,describe,2
1645,it's,3
1646,breeding,4
1647,she's,2
1648,v,1
1649,dysentery,1
1650,trying,16
1651,facts,1
1652,twice,3
1653,plates,2
1654,cut,14
1655,prep-school,1
1656,stick,3
1657,starting,5
1658,glad,7
1659,insulting,3
1660,nasty,4
1661,tongue,2
1662,i'm,5
1663,minute,8
1664,paix,1
1665,6,1
1666,hotel,78
1667,stationery,1
1668,six,12
1669,jack,2
1670,rose,6
1671,george,2
1672,barman,7
1673,either,7
1674,crossing,8
1675,barges,1
1676,towed,1
1677,current,1
1678,riding,5
1679,bargemen,1
1680,sweeps,1
1681,bridges,2
1682,rounded,1
1683,inventor,1
1684,semaphore,1
1685,engaged,1
1686,ride,7
1687,pass,12
1688,stretch,3
1689,p,1
1690,l,1
1691,between,24
1692,fontainebleau,1
1693,montereau,1
1694,association,1
1695,ideas,1
1696,places,6
1697,journey,1
1698,streets,22
1699,ugly,2
1700,incapacity,1
1701,enjoy,8
1702,possibly,1
1703,mencken,6
1704,hates,1
1705,dislikes,1
1706,taxi-driver,2
1707,sad,3
1708,harvey,21
1709,stone,21
1710,pile,3
1711,shave,4
1712,races,3
1713,sunday,4
1714,days,22
1715,figured,2
1716,ago,9
1717,shaking,7
1718,poker,2
1719,dice,2
1720,paused,2
1721,cat,4
1722,hurry,2
1723,added,2
1724,saucer,1
1725,hoffenheimer,1
1726,garter,1
1727,snapper,1
1728,reads,1
1729,alexander,1
1730,hamilton,1
1731,institute,1
1732,deeply,2
1733,port,4
1734,comes,10
1735,moron,3
1736,bums,1
1737,telling,7
1738,you're,4
1739,consider,1
1740,misjudged,1
1741,case,6
1742,arrested,2
1743,development,1
1744,push,1
1745,wo,34
1746,fighter,1
1747,mistake,4
1748,intelligent,1
1749,porto,1
1750,slowly,10
1751,fond,4
1752,nerves,3
1753,afternoon,13
1754,harder,1
1755,healthy,6
1756,conceit,1
1757,returned,1
1758,personal,2
1759,longings,1
1760,adventure,1
1761,sureness,1
1762,shown,1
1763,reason,5
1764,remark,3
1765,detach,3
1766,tennis-court,1
1767,body,10
1768,shape,3
1769,undergraduate,1
1770,polo,3
1771,shirts,3
1772,may,3
1773,professionally,1
1774,youthful,1
1775,clothes,12
1776,externally,1
1777,formed,3
1778,internally,1
1779,moulded,1
1780,trained,2
1781,boyish,1
1782,cheerfulness,1
1783,win,3
1784,lenglen,1
1785,instance,1
1786,beaten,1
1787,pieces,4
1788,seven-fifteen,1
1789,movement,3
1790,darndest,1
1791,cook,1
1792,paula,1
1793,ritz,3
1794,waited,7
1795,spoke,5
